Vardas         Pavarde        ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    ND11    ND12    ND13    ND14    Egzaminas   
Vardas3030     Pavarde3030    4       1       6       9       8       2       5       5       5       7       2       8       4       4       5           
Vardas3031     Pavarde3031    5       4       9       7       9       3       2       7       5       7       8       3       2       8       10          
Vardas3032     Pavarde3032    9       7       8       10      6       1       8       1       2       8       1       5       6       1       10          
Vardas3033     Pavarde3033    5       3       1       9       3       4       5       1       2       6       9       8       1       8       2           
Vardas3034     Pavarde3034    7       6       6       4       4       9       8       3       2       7       4       8       6       2       7           
Vardas3035     Pavarde3035    2       9       7       1       4       9       10      9       9       4       2       10      10      1       9           
Vardas3036     Pavarde3036    1       10      4       2       9       10      3       5       8       2       6       10      10      4       6           
Vardas3037     Pavarde3037    5       3       1       5       1       5       5       3       9       7       8       1       2       7       2           
Vardas3038     Pavarde3038    2       4       5       7       9       8       1       5       5       7       3       1       7       6       5           
Vardas3039     Pavarde3039    3       10      6       2       7       7       9       6       10      6       4       7       4       5       6           
Vardas3040     Pavarde3040    10      8       8       6       3       8       10      3       4       6       2       5       4       2       3           
Vardas3041     Pavarde3041    7       4       2       7       8       5       4       4       9       5       7       7       2       3       6           
Vardas3042     Pavarde3042    7       10      3       1       9       4       1       6       6       2       1       2       3       10      1           
Vardas3043     Pavarde3043    3       9       4       5       10      7       6       6       1       8       10      5       6       4       8           
Vardas3044     Pavarde3044    10      7       2       2       2       3       9       6       10      2       2       10      1       6       6           
Vardas3045     Pavarde3045    7       7       10      3       7       8       1       4       8       4       1       5       7       6       7           
Vardas3046     Pavarde3046    1       7       1       6       9       5       9       8       9       8       5       5       5       10      3           
Vardas3047     Pavarde3047    6       9       7       6       4       8       8       1       7       6       2       8       6       8       6           
Vardas3048     Pavarde3048    2       4       2       1       9       1       2       8       1       7       5       5       9       3       10          
Vardas3049     Pavarde3049    2       5       6       8       9       3       10      5       9       9       6       6       8       5       9           
Vardas3050     Pavarde3050    9       7       5       3       1       10      1       5       10      1       4       8       9       6       7           
Vardas3051     Pavarde3051    5       5       2       1       10      3       2       7       10      3       5       6       10      1       3           
Vardas3052     Pavarde3052    1       2       8       10      7       3       1       5       9       4       5       4       5       1       10          
Vardas3053     Pavarde3053    7       6       6       10      5       7       7       1       5       1       3       5       3       8       2           
Vardas3054     Pavarde3054    1       5       6       9       5       6       5       6       8       1       4       1       2       6       5           
Vardas3055     Pavarde3055    3       1       7       1       10      5       1       3       8       9       6       8       8       6       9           
Vardas3056     Pavarde3056    4       1       4       8       5       8       9       4       7       7       1       8       2       8       4           
Vardas3057     Pavarde3057    2       10      6       8       7       7       6       6       9       1       2       4       7       5       1           
Vardas3058     Pavarde3058    8       3       4       7       3       1       6       3       1       9       8       1       4       5       10          
Vardas3059     Pavarde3059    8       6       10      7       7       3       7       3       2       1       6       6       6       4       5           
Vardas3060     Pavarde3060    1       1       8       6       7       4       5       9       1       3       5       4       2       7       3           
Vardas3061     Pavarde3061    2       9       1       4       3       10      10      10      9       7       9       5       4       6       8           
Vardas3062     Pavarde3062    1       10      4       2       8       1       1       5       2       8       10      5       4       5       8           
Vardas3063     Pavarde3063    4       5       5       9       5       1       10      4       3       8       9       10      9       3       7           
Vardas3064     Pavarde3064    2       7       1       1       4       4       4       1       2       3       8       2       5       6       3           
Vardas3065     Pavarde3065    3       3       1       3       4       6       4       8       7       8       9       2       7       5       6           
Vardas3066     Pavarde3066    4       10      4       10      10      5       4       6       9       5       2       5       3       10      2           
Vardas3067     Pavarde3067    10      2       3       4       9       10      10      3       9       8       4       8       4       7       7           
Vardas3068     Pavarde3068    5       5       5       2       5       7       8       5       1       10      6       1       9       1       7           
Vardas3069     Pavarde3069    6       2       4       6       4       4       9       10      7       10      1       10      5       6       7           
Vardas3070     Pavarde3070    4       4       9       10      6       5       4       3       2       4       7       9       7       10      7           
Vardas3071     Pavarde3071    10      7       10      8       3       10      7       3       6       2       8       5       4       8       2           
Vardas3072     Pavarde3072    3       1       3       3       7       4       6       1       5       4       4       5       8       8       10          
Vardas3073     Pavarde3073    10      4       5       3       3       9       9       5       10      4       6       9       7       4       7           
Vardas3074     Pavarde3074    2       10      8       5       5       2       10      3       3       8       7       10      2       2       2           
Vardas3075     Pavarde3075    9       7       7       3       10      9       8       6       2       4       8       10      5       4       3           
Vardas3076     Pavarde3076    10      9       9       8       7       4       1       6       9       1       7       3       8       7       8           
Vardas3077     Pavarde3077    2       4       7       1       5       6       10      1       7       6       3       6       7       8       5           
Vardas3078     Pavarde3078    2       5       7       8       5       10      5       10      6       3       8       10      6       6       9           
Vardas3079     Pavarde3079    9       5       10      2       4       10      8       10      2       8       8       1       5       2       3           
Vardas3080     Pavarde3080    3       2       6       5       3       7       3       4       8       5       5       9       5       6       1           
Vardas3081     Pavarde3081    5       4       2       3       5       3       1       2       1       2       7       7       4       1       1           
Vardas3082     Pavarde3082    5       7       10      9       10      3       1       2       6       1       2       7       2       4       2           
Vardas3083     Pavarde3083    4       3       6       2       3       2       7       10      7       9       3       6       9       8       4           
Vardas3084     Pavarde3084    3       4       2       10      5       7       6       2       4       2       4       5       3       3       2           
Vardas3085     Pavarde3085    10      7       6       10      7       2       10      2       2       7       9       3       9       3       10          
Vardas3086     Pavarde3086    4       4       1       3       3       6       7       7       5       5       7       1       4       8       5           
Vardas3087     Pavarde3087    4       1       10      2       1       8       8       9       3       2       3       7       7       7       3           
Vardas3088     Pavarde3088    8       7       4       1       3       2       3       6       1       1       10      3       10      1       7           
Vardas3089     Pavarde3089    4       6       1       4       5       8       2       9       3       7       5       8       5       3       8           
Vardas3090     Pavarde3090    9       7       10      4       9       9       8       5       1       8       2       1       1       9       3           
Vardas3091     Pavarde3091    5       8       10      1       5       5       8       2       4       10      8       5       1       1       3           
Vardas3092     Pavarde3092    5       2       4       8       1       10      1       10      3       8       10      4       10      9       8           
Vardas3093     Pavarde3093    6       3       7       1       7       7       2       8       8       7       10      5       9       6       5           
Vardas3094     Pavarde3094    9       7       5       5       2       10      2       8       7       7       6       6       6       3       2           
Vardas3095     Pavarde3095    10      9       4       5       8       6       8       6       4       2       8       7       3       1       2           
Vardas3096     Pavarde3096    9       2       3       2       1       8       3       10      5       2       3       3       5       2       6           
Vardas3097     Pavarde3097    7       1       7       10      9       6       4       2       6       9       4       1       5       10      6           
Vardas3098     Pavarde3098    8       10      1       5       10      1       8       2       1       6       4       9       1       7       7           
Vardas3099     Pavarde3099    8       10      3       4       6       8       8       9       8       8       2       9       5       3       10          
Vardas3100     Pavarde3100    9       3       4       10      7       1       2       4       3       9       1       8       5       8       7           
Vardas3101     Pavarde3101    5       6       7       2       5       7       8       5       6       10      6       9       7       9       2           
Vardas3102     Pavarde3102    2       8       9       3       6       4       8       8       9       3       10      1       2       2       2           
Vardas3103     Pavarde3103    9       7       3       9       7       8       5       6       7       1       8       5       7       3       4           
Vardas3104     Pavarde3104    3       7       4       10      8       5       3       4       3       2       9       6       6       10      9           
Vardas3105     Pavarde3105    8       1       3       1       6       6       9       9       9       5       10      4       6       7       4           
Vardas3106     Pavarde3106    5       1       6       4       9       10      2       7       3       2       2       7       1       9       8           
Vardas3107     Pavarde3107    5       7       9       3       2       3       1       6       3       9       8       2       10      2       4           
Vardas3108     Pavarde3108    2       9       6       2       1       7       8       10      6       3       5       6       7       6       1           
Vardas3109     Pavarde3109    3       2       7       3       10      1       4       8       2       2       10      2       6       3       6           
Vardas3110     Pavarde3110    6       7       6       7       5       1       7       7       1       7       3       8       9       1       3           
Vardas3111     Pavarde3111    4       8       4       7       8       7       4       6       2       7       5       9       8       8       7           
Vardas3112     Pavarde3112    5       3       4       1       6       6       6       2       9       7       2       6       8       3       9           
Vardas3113     Pavarde3113    10      10      6       3       6       9       7       7       8       6       9       1       9       9       10          
Vardas3114     Pavarde3114    1       5       6       9       8       4       9       7       1       9       4       5       1       10      4           
Vardas3115     Pavarde3115    2       4       8       5       3       4       8       9       8       10      10      2       5       6       4           
Vardas3116     Pavarde3116    5       6       9       6       1       1       6       5       7       6       10      10      10      7       6           
Vardas3117     Pavarde3117    7       10      9       2       3       9       9       3       7       9       5       2       5       7       7           
Vardas3118     Pavarde3118    8       7       8       7       10      3       3       6       1       2       3       4       4       5       4           
Vardas3119     Pavarde3119    8       8       7       2       4       2       7       5       2       10      7       6       4       8       2           
Vardas3120     Pavarde3120    3       7       6       5       9       5       10      6       8       4       9       1       1       6       2           
Vardas3121     Pavarde3121    2       10      4       4       4       9       10      9       1       2       6       9       8       6       7           
Vardas3122     Pavarde3122    6       10      7       9       3       9       6       3       9       10      8       8       3       5       8           
Vardas3123     Pavarde3123    2       7       6       6       6       3       1       5       7       9       10      6       4       4       10          
Vardas3124     Pavarde3124    9       1       4       8       6       9       2       7       6       8       3       6       1       3       10          
Vardas3125     Pavarde3125    1       5       4       3       6       9       2       10      2       7       10      2       1       6       1           
Vardas3126     Pavarde3126    4       3       8       10      10      5       3       10      8       6       9       8       5       5       1           
Vardas3127     Pavarde3127    5       1       10      6       1       8       2       9       9       10      1       8       4       7       10          
Vardas3128     Pavarde3128    5       8       9       4       1       10      5       9       8       5       4       6       7       2       5           
Vardas3129     Pavarde3129    5       8       8       10      4       3       4       5       5       9       1       9       10      2       7           
Vardas3130     Pavarde3130    5       9       9       6       2       2       5       8       1       4       2       3       5       4       3           
Vardas3131     Pavarde3131    2       9       6       3       5       7       10      4       7       6       3       10      4       1       7           
Vardas3132     Pavarde3132    7       3       9       10      5       7       9       9       1       6       3       8       6       4       6           
Vardas3133     Pavarde3133    9       3       2       1       9       9       10      10      3       3       7       5       4       5       4           
Vardas3134     Pavarde3134    4       4       1       3       3       4       8       8       9       8       9       5       5       10      5           
Vardas3135     Pavarde3135    3       8       8       2       10      8       6       5       9       6       7       10      1       10      8           
Vardas3136     Pavarde3136    10      1       9       1       7       6       2       7       5       6       10      3       10      4       2           
Vardas3137     Pavarde3137    3       10      7       9       4       3       7       3       2       8       6       3       8       10      9           
Vardas3138     Pavarde3138    2       2       8       8       3       4       10      10      5       8       2       8       10      9       5           
Vardas3139     Pavarde3139    9       5       10      8       8       10      2       10      2       8       1       10      6       9       4           
Vardas3140     Pavarde3140    5       3       1       9       4       5       5       4       9       7       2       4       1       8       9           
Vardas3141     Pavarde3141    2       6       3       5       5       4       2       4       3       3       3       10      6       5       7           
Vardas3142     Pavarde3142    2       2       7       8       6       5       9       2       4       3       8       2       1       5       10          
Vardas3143     Pavarde3143    4       5       5       2       8       6       1       7       3       8       3       6       9       2       9           
Vardas3144     Pavarde3144    9       7       3       6       3       9       8       5       5       5       5       1       9       1       10          
Vardas3145     Pavarde3145    1       6       4       9       10      1       2       8       8       3       8       5       5       10      1           
Vardas3146     Pavarde3146    4       7       2       1       2       1       1       4       7       6       2       9       3       8       4           
Vardas3147     Pavarde3147    2       4       9       1       7       9       4       4       4       2       7       8       10      8       1           
Vardas3148     Pavarde3148    5       2       2       1       10      4       1       10      5       1       9       7       3       2       5           
Vardas3149     Pavarde3149    4       5       9       8       5       8       7       9       9       10      3       5       9       2       8           
Vardas3150     Pavarde3150    9       8       1       8       10      3       5       7       7       4       4       8       3       4       7           
Vardas3151     Pavarde3151    10      9       3       2       4       8       4       10      5       4       6       10      3       2       5           
Vardas3152     Pavarde3152    9       1       5       6       7       7       4       2       8       10      8       5       3       7       9           
Vardas3153     Pavarde3153    9       2       9       4       2       8       5       5       10      2       7       4       9       1       6           
Vardas3154     Pavarde3154    3       6       4       1       10      5       1       9       5       10      5       2       4       4       8           
Vardas3155     Pavarde3155    10      4       9       3       4       2       7       7       6       10      1       10      1       10      2           
Vardas3156     Pavarde3156    4       1       9       4       10      8       3       6       4       5       9       8       6       6       2           
Vardas3157     Pavarde3157    4       7       4       10      7       9       1       6       6       9       9       2       7       2       6           
Vardas3158     Pavarde3158    3       2       5       6       1       5       2       4       8       7       1       9       9       8       5           
Vardas3159     Pavarde3159    6       2       4       4       2       6       5       2       2       1       2       8       8       3       8           
Vardas3160     Pavarde3160    4       5       8       1       10      10      6       9       1       2       5       1       2       2       10          
Vardas3161     Pavarde3161    7       4       1       8       8       4       7       1       2       2       2       6       6       9       6           
Vardas3162     Pavarde3162    2       6       1       5       8       10      5       1       2       6       8       8       2       8       4           
Vardas3163     Pavarde3163    2       10      4       1       8       4       6       2       10      9       8       1       10      5       3           
Vardas3164     Pavarde3164    8       7       8       1       5       8       10      4       2       1       5       8       4       8       3           
Vardas3165     Pavarde3165    7       6       3       8       9       10      3       4       1       1       4       9       8       5       5           
Vardas3166     Pavarde3166    4       9       6       7       9       6       2       1       8       5       6       3       5       3       7           
Vardas3167     Pavarde3167    8       8       3       2       6       8       1       1       1       3       8       4       6       5       4           
Vardas3168     Pavarde3168    10      3       5       8       4       10      3       2       9       8       1       2       2       6       2           
Vardas3169     Pavarde3169    4       1       6       10      10      7       3       2       1       3       3       2       1       8       1           
Vardas3170     Pavarde3170    5       1       4       7       5       6       1       4       1       4       5       5       6       2       9           
Vardas3171     Pavarde3171    6       2       6       8       2       9       10      4       9       1       3       9       5       1       4           
Vardas3172     Pavarde3172    4       5       2       2       1       6       2       1       9       2       8       3       3       3       2           
Vardas3173     Pavarde3173    7       7       6       2       9       8       9       6       5       4       5       2       1       7       6           
Vardas3174     Pavarde3174    5       3       10      4       6       1       10      6       8       5       9       3       8       1       4           
Vardas3175     Pavarde3175    5       3       2       8       1       6       6       9       2       8       1       2       5       7       10          
Vardas3176     Pavarde3176    3       9       3       3       3       7       2       5       7       5       1       10      1       8       3           
Vardas3177     Pavarde3177    7       9       2       9       1       7       4       3       9       5       1       3       5       10      8           
Vardas3178     Pavarde3178    3       3       3       2       8       9       1       9       10      2       1       5       9       3       10          
Vardas3179     Pavarde3179    2       6       9       3       10      6       3       3       10      6       7       6       5       6       3           
Vardas3180     Pavarde3180    2       5       6       4       9       5       8       1       10      1       2       9       9       2       7           
Vardas3181     Pavarde3181    9       3       5       4       6       5       9       7       1       10      1       5       2       7       10          
Vardas3182     Pavarde3182    4       1       1       8       8       3       7       2       9       9       10      10      4       9       1           
Vardas3183     Pavarde3183    1       1       8       9       4       7       6       3       5       3       8       5       1       3       8           
Vardas3184     Pavarde3184    3       10      1       9       5       10      1       9       6       10      9       10      9       9       3           
Vardas3185     Pavarde3185    10      4       8       8       1       4       10      9       3       7       3       9       5       2       2           
Vardas3186     Pavarde3186    6       6       1       6       1       3       8       8       7       5       10      8       1       3       10          
Vardas3187     Pavarde3187    4       10      9       1       7       10      5       3       8       2       7       3       7       2       10          
Vardas3188     Pavarde3188    8       1       7       4       6       1       6       1       5       1       8       3       3       4       3           
Vardas3189     Pavarde3189    3       6       8       8       6       1       1       7       1       5       2       3       6       8       6           
Vardas3190     Pavarde3190    3       4       2       9       1       8       10      6       9       4       4       3       3       5       1           
Vardas3191     Pavarde3191    2       8       3       8       1       8       2       5       7       1       9       7       4       5       1           
Vardas3192     Pavarde3192    9       4       1       5       7       10      10      5       8       1       6       8       1       6       10          
Vardas3193     Pavarde3193    6       2       9       3       6       4       5       9       9       5       9       7       5       2       4           
Vardas3194     Pavarde3194    7       9       9       4       7       10      5       2       3       1       5       4       3       8       3           
Vardas3195     Pavarde3195    4       8       3       10      7       9       10      9       10      5       10      9       10      7       10          
Vardas3196     Pavarde3196    2       7       5       7       4       8       5       9       6       1       9       2       4       6       5           
Vardas3197     Pavarde3197    1       3       2       9       10      4       1       4       9       6       7       7       8       3       8           
Vardas3198     Pavarde3198    5       1       2       8       9       2       5       9       6       3       6       3       6       8       4           
Vardas3199     Pavarde3199    1       6       9       2       3       4       9       3       5       9       2       4       4       5       9           
Vardas3200     Pavarde3200    5       8       6       4       1       1       5       6       1       2       2       1       5       6       5           
Vardas3201     Pavarde3201    4       10      2       3       8       3       8       3       5       1       6       4       2       7       2           
Vardas3202     Pavarde3202    4       10      6       6       1       4       5       1       5       2       3       6       9       1       1           
Vardas3203     Pavarde3203    7       4       1       7       7       1       3       10      8       2       1       1       5       2       3           
Vardas3204     Pavarde3204    9       10      10      8       8       7       1       5       4       3       2       7       3       8       5           
Vardas3205     Pavarde3205    5       10      1       2       9       9       4       4       3       1       9       8       7       8       8           
Vardas3206     Pavarde3206    5       2       3       7       3       7       2       9       10      8       9       10      5       7       6           
Vardas3207     Pavarde3207    3       6       1       1       8       9       9       3       6       7       7       9       8       2       1           
Vardas3208     Pavarde3208    6       4       2       3       7       2       8       5       7       9       2       9       2       10      3           
Vardas3209     Pavarde3209    6       9       2       9       6       7       8       9       10      6       7       10      3       8       4           
Vardas3210     Pavarde3210    2       7       10      5       1       6       1       8       2       4       10      6       6       2       9           
Vardas3211     Pavarde3211    5       5       4       2       7       4       8       1       5       6       6       5       7       6       10          
Vardas3212     Pavarde3212    5       4       7       7       7       4       2       3       6       2       10      1       9       1       2           
Vardas3213     Pavarde3213    10      4       9       1       9       1       5       7       5       3       9       2       1       3       6           
Vardas3214     Pavarde3214    9       5       10      4       6       2       4       10      9       4       1       9       1       10      3           
Vardas3215     Pavarde3215    2       7       9       6       3       5       7       9       1       6       8       9       2       5       2           
Vardas3216     Pavarde3216    10      6       5       2       1       7       2       7       5       3       2       3       3       5       2           
Vardas3217     Pavarde3217    5       4       7       5       9       8       8       8       6       8       3       5       9       6       3           
Vardas3218     Pavarde3218    8       4       10      9       9       1       2       4       1       8       1       1       9       7       4           
Vardas3219     Pavarde3219    6       1       6       8       3       9       10      3       2       8       7       4       4       5       3           
Vardas3220     Pavarde3220    9       3       6       2       6       1       8       9       8       3       1       5       9       6       5           
Vardas3221     Pavarde3221    10      7       8       10      8       5       7       6       8       10      4       10      10      2       9           
Vardas3222     Pavarde3222    2       3       1       9       1       8       1       1       7       2       6       6       7       8       8           
Vardas3223     Pavarde3223    2       4       2       8       5       6       4       4       9       9       10      3       10      3       10          
Vardas3224     Pavarde3224    6       3       9       8       9       9       1       8       3       3       10      6       6       4       6           
Vardas3225     Pavarde3225    10      2       2       3       4       8       8       3       6       8       10      7       4       8       2           
Vardas3226     Pavarde3226    7       4       4       3       1       7       4       10      9       2       3       8       8       9       2           
Vardas3227     Pavarde3227    7       4       9       10      7       6       9       1       2       10      6       4       6       6       8           
Vardas3228     Pavarde3228    1       5       2       2       5       1       10      4       6       1       7       5       7       9       8           
Vardas3229     Pavarde3229    8       10      4       1       10      9       10      8       2       3       4       3       3       3       10          
Vardas3230     Pavarde3230    6       5       9       7       8       10      10      1       6       6       8       10      9       3       5           
Vardas3231     Pavarde3231    8       4       2       4       8       8       2       3       4       7       7       3       2       7       6           
Vardas3232     Pavarde3232    6       2       9       5       10      10      3       5       4       9       5       7       7       3       7           
Vardas3233     Pavarde3233    5       1       3       6       6       3       2       9       4       1       6       6       7       2       7           
Vardas3234     Pavarde3234    6       6       5       9       2       1       6       5       6       10      8       10      9       3       6           
Vardas3235     Pavarde3235    1       7       6       3       10      4       9       9       3       10      2       1       6       8       4           
Vardas3236     Pavarde3236    1       4       7       3       5       4       1       1       2       4       5       9       9       7       1           
Vardas3237     Pavarde3237    8       2       2       1       2       2       9       6       5       7       4       2       5       9       1           
Vardas3238     Pavarde3238    7       8       5       8       4       3       7       4       8       1       3       2       6       10      3           
Vardas3239     Pavarde3239    7       5       4       10      2       3       1       7       5       8       10      10      4       10      5           
Vardas3240     Pavarde3240    4       9       10      2       4       5       9       9       10      8       5       7       7       5       6           
Vardas3241     Pavarde3241    9       1       10      9       6       4       2       8       1       3       1       5       2       5       2           
Vardas3242     Pavarde3242    10      5       3       3       5       9       10      4       3       7       6       4       4       1       5           
Vardas3243     Pavarde3243    6       5       8       3       4       6       1       8       3       3       4       5       8       9       5           
Vardas3244     Pavarde3244    1       5       3       1       3       1       10      6       8       6       6       9       6       9       6           
Vardas3245     Pavarde3245    8       3       3       1       5       2       7       7       4       10      5       5       5       4       7           
Vardas3246     Pavarde3246    3       2       10      7       9       8       8       6       8       3       5       5       3       1       3           
Vardas3247     Pavarde3247    9       7       7       6       7       1       9       5       1       10      6       10      7       10      7           
Vardas3248     Pavarde3248    10      10      2       7       10      1       2       1       5       2       8       7       9       5       1           
Vardas3249     Pavarde3249    1       3       10      7       7       5       8       8       1       8       9       7       10      1       6           
Vardas3250     Pavarde3250    4       4       2       2       2       10      6       8       1       4       9       3       5       8       8           
Vardas3251     Pavarde3251    2       10      1       5       9       8       10      7       4       9       7       9       5       7       10          
Vardas3252     Pavarde3252    10      8       4       5       1       10      9       3       5       1       9       7       10      3       9           
Vardas3253     Pavarde3253    1       2       8       8       5       10      4       3       1       6       4       10      8       8       10          
Vardas3254     Pavarde3254    9       4       10      10      8       2       6       10      9       3       4       2       7       5       5           
Vardas3255     Pavarde3255    1       9       4       6       1       10      10      2       2       5       1       7       3       8       2           
Vardas3256     Pavarde3256    6       1       8       8       8       6       4       4       7       6       4       3       7       1       10          
Vardas3257     Pavarde3257    1       2       2       2       2       1       10      10      8       1       8       9       6       1       5           
Vardas3258     Pavarde3258    3       4       10      5       1       3       8       6       4       10      1       6       10      3       8           
Vardas3259     Pavarde3259    10      10      4       10      10      7       3       6       3       5       9       9       7       2       4           
Vardas3260     Pavarde3260    5       5       1       6       1       7       6       10      9       5       7       4       2       9       7           
Vardas3261     Pavarde3261    5       4       1       8       6       2       10      2       8       5       9       2       1       3       3           
Vardas3262     Pavarde3262    7       10      1       2       5       8       2       10      7       10      5       9       5       5       8           
Vardas3263     Pavarde3263    4       1       7       10      10      8       10      10      5       8       6       1       3       9       1           
Vardas3264     Pavarde3264    2       7       3       9       5       3       7       5       8       1       3       3       1       3       10          
Vardas3265     Pavarde3265    3       9       4       7       9       10      5       2       7       5       1       2       5       5       1           
Vardas3266     Pavarde3266    8       3       1       8       3       8       4       9       1       10      1       3       6       2       10          
Vardas3267     Pavarde3267    9       7       1       4       6       5       4       1       8       6       1       4       8       2       6           
Vardas3268     Pavarde3268    2       4       5       2       3       2       6       1       4       1       7       2       10      9       4           
Vardas3269     Pavarde3269    7       6       9       9       1       5       9       1       9       5       9       6       6       2       3           
Vardas3270     Pavarde3270    8       4       8       1       5       2       7       6       1       9       1       2       1       7       6           
Vardas3271     Pavarde3271    3       9       2       4       7       5       1       4       6       3       6       4       9       3       4           
Vardas3272     Pavarde3272    6       2       10      8       7       5       6       8       4       5       7       3       1       6       7           
Vardas3273     Pavarde3273    10      6       5       5       5       9       4       3       6       6       1       7       5       6       5           
Vardas3274     Pavarde3274    2       3       7       4       10      3       4       10      8       6       7       2       8       10      6           
Vardas3275     Pavarde3275    4       6       4       10      8       8       8       10      3       8       5       9       10      3       9           
Vardas3276     Pavarde3276    1       4       9       8       2       6       10      8       5       4       3       7       8       9       9           
Vardas3277     Pavarde3277    10      8       2       4       8       7       6       3       9       6       7       7       10      2       8           
Vardas3278     Pavarde3278    5       10      10      3       4       6       5       9       2       9       6       1       3       4       2           
Vardas3279     Pavarde3279    8       5       4       6       7       1       2       1       3       7       10      2       7       4       4           
Vardas3280     Pavarde3280    9       6       9       7       7       7       4       8       7       2       1       4       1       3       6           
Vardas3281     Pavarde3281    1       10      10      7       7       2       6       1       10      7       10      9       4       9       10          
Vardas3282     Pavarde3282    9       6       5       1       7       5       8       1       9       1       3       5       10      4       7           
Vardas3283     Pavarde3283    3       8       2       7       8       10      7       8       7       8       7       3       6       1       10          
Vardas3284     Pavarde3284    4       7       5       9       8       3       5       10      4       5       6       6       7       8       1           
Vardas3285     Pavarde3285    7       6       10      10      6       10      1       2       1       9       7       8       3       9       2           
Vardas3286     Pavarde3286    3       4       5       10      4       2       3       9       9       3       7       8       7       2       6           
Vardas3287     Pavarde3287    1       1       9       8       4       4       9       8       8       9       3       10      8       8       10          
Vardas3288     Pavarde3288    8       4       7       10      3       10      8       2       7       8       9       9       8       8       5           
Vardas3289     Pavarde3289    6       6       5       4       8       1       1       7       8       1       8       2       7       9       3           
Vardas3290     Pavarde3290    9       5       8       9       4       4       1       1       3       9       10      10      4       7       2           
Vardas3291     Pavarde3291    9       6       8       7       1       7       1       2       7       6       10      9       9       5       5           
Vardas3292     Pavarde3292    10      4       1       10      6       7       9       2       5       10      4       2       5       1       6           
Vardas3293     Pavarde3293    10      1       10      8       7       2       7       10      3       6       10      6       6       1       6           
Vardas3294     Pavarde3294    6       10      8       8       8       8       2       4       4       6       1       2       2       8       10          
Vardas3295     Pavarde3295    4       3       5       7       7       3       8       8       8       9       7       2       3       2       2           
Vardas3296     Pavarde3296    4       3       5       2       1       5       3       2       4       9       5       3       3       3       7           
Vardas3297     Pavarde3297    1       10      7       1       7       2       4       10      3       2       8       10      2       5       10          
Vardas3298     Pavarde3298    4       7       1       9       3       9       5       4       10      10      10      2       6       5       9           
Vardas3299     Pavarde3299    8       6       10      1       9       3       1       8       8       9       7       4       3       8       7           
Vardas3300     Pavarde3300    1       8       8       3       5       6       6       3       4       4       2       4       4       9       8           
Vardas3301     Pavarde3301    2       4       3       10      6       6       3       4       5       10      7       4       6       4       6           
Vardas3302     Pavarde3302    8       2       3       1       7       3       10      8       8       4       4       1       2       2       1           
Vardas3303     Pavarde3303    4       3       7       8       8       9       1       10      10      6       10      9       4       5       1           
Vardas3304     Pavarde3304    7       1       10      1       1       3       4       8       3       6       5       10      9       1       10          
Vardas3305     Pavarde3305    8       10      10      2       1       2       4       1       3       10      2       5       1       3       6           
Vardas3306     Pavarde3306    4       2       1       2       2       1       2       7       1       2       8       6       8       5       1           
Vardas3307     Pavarde3307    7       9       7       8       3       1       8       3       8       1       3       1       1       7       8           
Vardas3308     Pavarde3308    2       4       4       1       2       7       4       10      9       3       8       5       8       2       4           
Vardas3309     Pavarde3309    1       3       6       2       3       8       4       4       8       1       10      3       7       2       8           
Vardas3310     Pavarde3310    7       8       1       2       5       3       1       7       2       7       6       4       8       6       4           
Vardas3311     Pavarde3311    10      5       7       2       9       6       9       1       7       2       6       6       3       3       5           
Vardas3312     Pavarde3312    8       3       3       5       9       5       10      1       5       4       10      2       2       8       6           
Vardas3313     Pavarde3313    5       2       5       10      2       7       10      1       5       2       7       7       8       3       1           
Vardas3314     Pavarde3314    10      8       1       10      9       1       7       10      4       9       8       9       7       8       7           
Vardas3315     Pavarde3315    6       8       1       7       5       4       9       2       3       9       7       6       6       7       7           
Vardas3316     Pavarde3316    3       8       7       9       9       7       6       1       5       10      5       8       8       1       2           
Vardas3317     Pavarde3317    4       8       4       6       3       5       8       1       4       2       5       5       4       2       2           
Vardas3318     Pavarde3318    1       9       10      3       6       4       2       9       8       5       9       8       7       7       7           
Vardas3319     Pavarde3319    7       7       7       5       7       4       3       7       6       2       10      6       1       7       3           
Vardas3320     Pavarde3320    9       7       10      7       3       7       6       1       7       6       7       3       4       7       3           
