Vardas         Pavarde        ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    ND11    ND12    ND13    ND14    Egzaminas   
Vardas13631    Pavarde13631   7       8       3       8       4       8       3       7       8       9       5       2       1       8       7           
Vardas13632    Pavarde13632   3       4       9       2       3       10      4       9       1       8       1       5       6       8       1           
Vardas13633    Pavarde13633   5       5       2       3       8       6       3       5       8       9       1       9       5       4       7           
Vardas13634    Pavarde13634   4       3       10      10      5       7       5       6       8       3       6       8       8       4       9           
Vardas13635    Pavarde13635   3       9       7       1       5       8       10      4       2       8       7       4       8       10      10          
Vardas13636    Pavarde13636   7       3       1       8       7       8       7       4       5       7       10      5       3       4       9           
Vardas13637    Pavarde13637   3       2       10      3       7       1       4       4       10      1       8       2       1       2       5           
Vardas13638    Pavarde13638   2       9       5       2       7       3       6       6       6       6       10      6       8       4       5           
Vardas13639    Pavarde13639   9       1       8       10      8       5       1       2       3       2       5       6       6       6       1           
Vardas13640    Pavarde13640   8       7       6       7       4       9       3       9       6       9       2       2       4       10      7           
Vardas13641    Pavarde13641   1       7       3       9       4       4       6       2       9       10      6       9       2       2       4           
Vardas13642    Pavarde13642   7       9       2       8       3       7       6       3       10      8       3       1       8       5       9           
Vardas13643    Pavarde13643   2       3       10      10      5       3       4       4       5       3       10      6       3       1       5           
Vardas13644    Pavarde13644   8       2       10      6       2       8       6       2       2       3       8       1       1       4       9           
Vardas13645    Pavarde13645   9       7       7       5       3       5       6       3       1       5       10      4       6       1       2           
Vardas13646    Pavarde13646   7       7       4       10      6       8       5       2       8       5       1       7       10      1       6           
Vardas13647    Pavarde13647   6       4       10      9       10      8       3       9       10      6       9       5       5       9       9           
Vardas13648    Pavarde13648   10      9       10      4       1       4       1       4       5       5       1       9       7       7       2           
Vardas13649    Pavarde13649   8       8       1       9       10      3       3       3       3       1       8       4       9       4       4           
Vardas13650    Pavarde13650   5       7       8       6       8       7       10      9       5       10      5       3       2       1       7           
Vardas13651    Pavarde13651   2       10      2       4       7       8       4       3       8       9       1       4       8       8       3           
Vardas13652    Pavarde13652   6       9       3       8       3       9       4       2       6       6       5       5       3       2       3           
Vardas13653    Pavarde13653   6       10      4       6       1       2       4       1       9       1       6       2       9       9       9           
Vardas13654    Pavarde13654   6       5       9       5       6       2       9       10      9       6       8       7       10      3       1           
Vardas13655    Pavarde13655   7       1       6       2       8       9       5       5       10      9       9       9       6       10      9           
Vardas13656    Pavarde13656   7       10      10      9       5       10      3       8       5       10      2       10      1       10      1           
Vardas13657    Pavarde13657   4       6       8       4       9       1       8       1       3       5       3       10      1       1       8           
Vardas13658    Pavarde13658   8       2       9       9       7       6       7       7       7       10      7       1       3       9       6           
Vardas13659    Pavarde13659   4       6       3       8       2       4       6       7       5       3       4       2       3       5       10          
Vardas13660    Pavarde13660   2       6       6       7       7       8       10      8       5       7       9       1       4       9       2           
Vardas13661    Pavarde13661   5       10      2       9       9       4       2       1       7       2       3       9       9       6       1           
Vardas13662    Pavarde13662   6       4       10      8       2       2       3       5       8       1       2       7       3       8       6           
Vardas13663    Pavarde13663   3       2       3       3       5       1       3       9       9       4       7       1       8       2       4           
Vardas13664    Pavarde13664   8       10      6       3       9       3       4       1       8       5       8       7       10      8       5           
Vardas13665    Pavarde13665   2       10      8       6       8       1       10      7       7       7       7       7       1       4       8           
Vardas13666    Pavarde13666   5       2       6       7       4       2       5       7       2       2       9       9       5       7       4           
Vardas13667    Pavarde13667   2       3       8       8       4       3       5       2       6       5       3       6       7       5       7           
Vardas13668    Pavarde13668   2       4       4       10      1       1       1       7       9       5       1       8       2       2       10          
Vardas13669    Pavarde13669   1       6       5       4       4       1       8       6       1       10      6       5       4       8       5           
Vardas13670    Pavarde13670   2       10      7       7       8       8       5       8       1       4       10      1       2       3       4           
Vardas13671    Pavarde13671   6       10      7       7       5       8       8       8       1       5       8       10      5       3       9           
Vardas13672    Pavarde13672   6       8       4       4       5       4       10      9       6       1       6       7       5       5       2           
Vardas13673    Pavarde13673   6       9       4       9       5       9       10      1       2       10      3       2       7       10      1           
Vardas13674    Pavarde13674   3       5       2       10      3       3       8       5       2       1       6       4       2       8       9           
Vardas13675    Pavarde13675   3       2       10      7       8       1       1       6       8       8       7       4       5       7       2           
Vardas13676    Pavarde13676   4       6       7       9       4       6       6       9       6       4       3       9       4       7       7           
Vardas13677    Pavarde13677   2       3       7       10      9       2       10      4       6       4       1       7       1       7       4           
Vardas13678    Pavarde13678   8       3       10      10      7       7       4       1       8       6       7       4       9       3       2           
Vardas13679    Pavarde13679   8       1       2       8       8       10      2       3       7       3       2       4       8       7       6           
Vardas13680    Pavarde13680   8       3       10      4       5       1       7       9       5       6       3       5       7       8       10          
Vardas13681    Pavarde13681   2       6       5       1       2       4       4       5       1       7       6       2       9       7       3           
Vardas13682    Pavarde13682   6       7       4       1       5       3       6       5       10      3       2       4       8       4       10          
Vardas13683    Pavarde13683   2       1       6       8       3       6       8       8       7       4       5       8       2       3       3           
Vardas13684    Pavarde13684   10      2       5       7       10      3       1       2       1       2       10      7       6       1       8           
Vardas13685    Pavarde13685   4       7       10      1       10      3       3       7       8       2       6       2       1       5       1           
Vardas13686    Pavarde13686   8       2       6       4       7       8       2       3       6       9       2       8       10      10      4           
Vardas13687    Pavarde13687   4       6       7       4       9       5       3       5       10      5       6       6       5       8       7           
Vardas13688    Pavarde13688   6       8       4       5       9       7       4       9       7       6       1       2       2       5       10          
Vardas13689    Pavarde13689   5       5       4       6       10      1       8       1       1       9       8       6       2       8       5           
Vardas13690    Pavarde13690   5       10      4       9       6       4       1       1       1       8       6       8       5       2       4           
Vardas13691    Pavarde13691   6       3       8       8       6       9       1       6       6       6       9       6       2       7       2           
Vardas13692    Pavarde13692   1       2       6       1       9       8       2       9       1       9       3       1       9       5       4           
Vardas13693    Pavarde13693   10      6       4       7       5       9       1       2       9       7       7       3       8       7       4           
Vardas13694    Pavarde13694   5       1       9       3       2       10      5       2       7       7       10      10      4       9       7           
Vardas13695    Pavarde13695   4       8       2       5       9       10      3       6       1       4       8       10      10      8       1           
Vardas13696    Pavarde13696   6       4       9       9       8       1       4       5       5       9       5       8       4       6       7           
Vardas13697    Pavarde13697   5       3       3       2       2       8       3       7       1       2       9       3       1       2       2           
Vardas13698    Pavarde13698   6       9       6       8       4       7       2       6       3       6       8       10      7       7       1           
Vardas13699    Pavarde13699   4       9       3       3       7       3       4       9       2       6       1       7       8       8       7           
Vardas13700    Pavarde13700   4       7       3       4       4       9       6       10      1       7       4       1       5       8       5           
Vardas13701    Pavarde13701   1       2       9       7       4       7       4       9       7       10      9       6       10      2       10          
Vardas13702    Pavarde13702   3       1       2       3       3       3       3       2       2       5       6       1       5       1       2           
Vardas13703    Pavarde13703   8       4       3       10      4       10      8       7       6       6       8       2       7       10      2           
Vardas13704    Pavarde13704   8       10      4       9       8       8       10      7       10      2       3       10      3       6       7           
Vardas13705    Pavarde13705   7       1       7       7       2       7       4       6       2       5       5       5       7       1       5           
Vardas13706    Pavarde13706   1       2       5       1       2       4       1       9       6       2       10      8       6       10      3           
Vardas13707    Pavarde13707   7       6       8       8       6       2       2       6       2       4       10      2       7       9       1           
Vardas13708    Pavarde13708   7       1       1       3       7       10      1       6       5       9       9       1       6       9       4           
Vardas13709    Pavarde13709   7       5       2       6       2       5       9       2       10      9       6       4       6       1       10          
Vardas13710    Pavarde13710   8       5       9       6       7       2       2       7       3       2       4       10      1       3       9           
Vardas13711    Pavarde13711   1       4       3       9       7       5       6       7       10      2       10      4       2       8       6           
Vardas13712    Pavarde13712   10      9       4       9       7       10      6       3       7       6       9       9       1       8       6           
Vardas13713    Pavarde13713   10      2       6       5       4       10      10      10      4       4       4       1       8       2       6           
Vardas13714    Pavarde13714   7       3       3       9       9       7       5       6       10      6       9       5       9       4       6           
Vardas13715    Pavarde13715   4       3       3       5       5       10      4       4       7       1       6       9       8       7       6           
Vardas13716    Pavarde13716   4       5       1       2       10      6       4       8       3       1       4       8       4       5       9           
Vardas13717    Pavarde13717   5       2       9       9       3       8       2       9       1       7       5       10      6       4       4           
Vardas13718    Pavarde13718   7       4       3       7       5       9       3       4       4       3       7       8       2       7       1           
Vardas13719    Pavarde13719   10      1       3       3       9       9       7       3       9       3       5       7       4       4       3           
Vardas13720    Pavarde13720   1       5       9       8       9       3       9       10      7       1       7       9       9       6       7           
Vardas13721    Pavarde13721   4       1       6       10      1       7       8       10      3       7       3       5       7       1       7           
Vardas13722    Pavarde13722   7       10      2       4       8       7       6       8       10      6       5       6       10      5       2           
Vardas13723    Pavarde13723   2       8       6       2       5       6       8       6       3       10      10      9       1       8       2           
Vardas13724    Pavarde13724   5       5       4       10      4       1       3       7       9       2       10      9       2       9       7           
Vardas13725    Pavarde13725   1       1       1       6       5       3       7       2       9       7       7       3       8       10      3           
Vardas13726    Pavarde13726   10      7       8       10      3       2       10      6       1       6       8       9       2       7       9           
Vardas13727    Pavarde13727   7       1       10      7       10      8       4       6       7       2       8       3       7       3       4           
Vardas13728    Pavarde13728   7       5       8       5       2       7       4       8       9       8       2       8       3       4       2           
Vardas13729    Pavarde13729   1       2       2       10      3       2       10      5       1       7       3       1       6       1       9           
Vardas13730    Pavarde13730   4       4       6       5       7       9       9       5       4       8       2       7       4       1       7           
Vardas13731    Pavarde13731   5       9       10      1       5       1       1       2       7       3       6       8       1       5       5           
Vardas13732    Pavarde13732   9       7       7       8       5       1       7       6       9       2       2       10      2       7       10          
Vardas13733    Pavarde13733   3       6       5       8       9       6       2       3       3       1       5       1       6       9       1           
Vardas13734    Pavarde13734   2       8       2       1       8       6       2       9       3       9       6       5       9       10      3           
Vardas13735    Pavarde13735   10      10      6       8       2       8       2       2       3       2       6       9       5       1       8           
Vardas13736    Pavarde13736   9       2       3       9       3       2       9       4       7       7       5       1       8       1       2           
Vardas13737    Pavarde13737   2       1       8       4       2       3       9       6       3       6       5       4       6       1       6           
Vardas13738    Pavarde13738   1       8       8       1       8       4       10      10      8       1       1       10      3       1       5           
Vardas13739    Pavarde13739   5       10      8       7       9       3       5       4       3       7       9       5       4       4       4           
Vardas13740    Pavarde13740   9       7       3       10      3       5       1       8       2       8       10      5       8       4       9           
Vardas13741    Pavarde13741   8       4       4       4       2       1       5       2       9       4       8       7       4       3       9           
Vardas13742    Pavarde13742   1       3       7       1       10      10      1       2       7       1       8       1       7       7       2           
Vardas13743    Pavarde13743   5       9       9       3       9       9       4       7       2       7       3       9       8       1       2           
Vardas13744    Pavarde13744   3       6       3       7       3       9       8       8       10      9       4       10      1       1       2           
Vardas13745    Pavarde13745   8       8       9       5       2       5       10      5       9       2       1       6       5       1       4           
Vardas13746    Pavarde13746   6       6       9       2       8       1       2       3       8       7       9       3       7       3       3           
Vardas13747    Pavarde13747   9       9       3       7       8       5       3       7       9       4       6       9       8       10      9           
Vardas13748    Pavarde13748   7       3       7       6       9       10      1       2       1       6       10      9       7       4       7           
Vardas13749    Pavarde13749   5       10      7       3       6       9       9       10      4       6       5       7       6       1       8           
Vardas13750    Pavarde13750   3       1       8       3       5       1       5       6       10      5       10      10      5       7       7           
Vardas13751    Pavarde13751   7       3       10      8       1       10      5       6       2       1       5       3       9       3       2           
Vardas13752    Pavarde13752   1       6       1       1       2       2       5       9       5       4       9       5       2       3       2           
Vardas13753    Pavarde13753   7       3       5       6       3       5       7       9       3       5       1       7       3       6       8           
Vardas13754    Pavarde13754   9       3       4       4       5       5       5       9       4       3       2       9       2       2       5           
Vardas13755    Pavarde13755   1       4       9       3       3       9       7       1       10      1       5       5       5       8       8           
Vardas13756    Pavarde13756   1       8       8       9       1       4       2       1       8       9       10      9       6       8       8           
Vardas13757    Pavarde13757   1       4       7       5       8       6       1       1       1       10      1       9       2       2       4           
Vardas13758    Pavarde13758   8       2       10      1       3       7       6       4       1       9       6       6       1       1       2           
Vardas13759    Pavarde13759   6       4       3       7       8       4       1       8       7       8       9       4       1       4       6           
Vardas13760    Pavarde13760   9       6       4       7       9       4       2       1       7       3       1       7       6       2       7           
Vardas13761    Pavarde13761   10      4       10      9       2       5       8       9       7       9       3       6       10      4       9           
Vardas13762    Pavarde13762   9       8       9       7       7       3       4       5       4       5       6       10      8       2       9           
Vardas13763    Pavarde13763   10      6       6       9       4       8       7       3       9       2       2       10      1       4       8           
Vardas13764    Pavarde13764   9       2       9       3       7       8       3       5       3       6       5       9       6       1       3           
Vardas13765    Pavarde13765   2       3       10      8       8       5       5       1       9       7       2       7       3       9       10          
Vardas13766    Pavarde13766   8       10      4       2       9       9       8       6       7       4       1       6       10      9       5           
Vardas13767    Pavarde13767   2       6       4       9       4       2       6       9       1       1       7       1       3       8       3           
Vardas13768    Pavarde13768   2       1       10      2       6       3       3       4       3       3       9       4       5       6       8           
Vardas13769    Pavarde13769   4       1       5       6       8       1       4       7       10      3       2       3       10      10      2           
Vardas13770    Pavarde13770   10      10      3       7       8       5       10      8       1       2       2       5       10      8       3           
Vardas13771    Pavarde13771   5       8       2       1       9       7       1       3       2       2       8       10      8       5       2           
Vardas13772    Pavarde13772   1       9       10      10      4       9       3       8       10      8       3       8       2       4       5           
Vardas13773    Pavarde13773   10      8       5       4       8       6       9       7       6       3       9       4       7       6       7           
Vardas13774    Pavarde13774   9       10      1       8       7       2       1       3       5       1       5       10      8       2       4           
Vardas13775    Pavarde13775   2       10      10      3       3       3       7       4       4       8       6       3       1       4       9           
Vardas13776    Pavarde13776   1       6       3       8       10      4       9       2       10      2       5       2       5       10      1           
Vardas13777    Pavarde13777   7       6       4       4       5       9       7       5       1       4       1       3       10      2       4           
Vardas13778    Pavarde13778   2       1       7       10      8       9       10      8       7       8       2       1       1       8       8           
Vardas13779    Pavarde13779   4       3       6       7       2       3       7       6       2       3       6       5       8       9       5           
Vardas13780    Pavarde13780   2       3       2       6       6       8       5       1       3       9       10      1       3       1       2           
Vardas13781    Pavarde13781   1       3       7       9       9       2       9       2       4       6       9       10      4       4       9           
Vardas13782    Pavarde13782   8       7       9       2       1       7       10      4       2       4       7       1       7       9       8           
Vardas13783    Pavarde13783   4       8       8       10      2       4       4       10      6       1       4       8       9       6       8           
Vardas13784    Pavarde13784   5       5       8       5       9       5       1       8       10      3       9       3       3       9       2           
Vardas13785    Pavarde13785   3       3       5       4       2       2       1       5       3       2       4       6       1       6       10          
Vardas13786    Pavarde13786   2       7       2       4       3       7       4       9       8       2       5       9       2       9       2           
Vardas13787    Pavarde13787   10      9       5       2       6       2       2       4       8       3       5       8       1       9       6           
Vardas13788    Pavarde13788   4       8       2       6       8       6       10      8       8       4       8       4       8       9       4           
Vardas13789    Pavarde13789   8       3       2       10      9       3       9       7       1       4       5       1       4       4       2           
Vardas13790    Pavarde13790   5       5       5       8       10      5       2       2       4       6       3       10      2       4       1           
Vardas13791    Pavarde13791   8       5       4       1       5       9       6       9       6       5       5       6       2       6       4           
Vardas13792    Pavarde13792   2       3       7       1       2       8       2       1       7       5       7       5       1       5       4           
Vardas13793    Pavarde13793   6       10      9       5       4       5       5       7       1       4       1       6       4       1       8           
Vardas13794    Pavarde13794   7       4       6       8       6       4       6       10      10      7       6       9       6       10      6           
Vardas13795    Pavarde13795   7       3       10      9       6       8       9       5       2       5       4       10      6       6       8           
Vardas13796    Pavarde13796   1       3       2       7       4       3       7       5       8       9       5       8       3       2       2           
Vardas13797    Pavarde13797   4       3       4       7       5       7       10      9       3       3       9       3       8       7       4           
Vardas13798    Pavarde13798   8       9       9       1       4       10      7       10      1       10      10      6       6       6       2           
Vardas13799    Pavarde13799   3       2       2       10      4       2       2       7       3       4       7       7       6       1       1           
Vardas13800    Pavarde13800   5       9       7       9       5       9       5       6       4       7       8       3       1       2       4           
Vardas13801    Pavarde13801   8       7       1       8       2       4       8       9       5       5       3       1       4       10      5           
Vardas13802    Pavarde13802   4       7       9       4       9       1       5       6       9       1       4       9       6       4       4           
Vardas13803    Pavarde13803   2       4       7       8       9       4       10      4       8       9       2       4       9       1       10          
Vardas13804    Pavarde13804   7       6       5       1       8       8       7       1       7       7       6       4       2       1       2           
Vardas13805    Pavarde13805   6       1       1       4       2       2       10      7       3       5       10      2       6       9       7           
Vardas13806    Pavarde13806   5       10      8       8       2       7       8       7       2       1       8       4       1       3       10          
Vardas13807    Pavarde13807   2       10      3       7       8       2       4       4       6       2       3       3       4       1       4           
Vardas13808    Pavarde13808   8       2       8       8       1       5       9       6       6       2       10      8       10      7       6           
Vardas13809    Pavarde13809   3       8       9       8       7       7       1       2       6       3       5       7       9       3       7           
Vardas13810    Pavarde13810   3       6       10      7       8       4       7       2       9       5       2       4       10      9       2           
Vardas13811    Pavarde13811   3       8       4       8       2       1       4       5       4       8       5       7       1       1       5           
Vardas13812    Pavarde13812   6       5       2       1       6       9       7       6       10      3       3       2       4       1       5           
Vardas13813    Pavarde13813   6       2       2       10      2       8       3       4       9       7       4       4       6       4       1           
Vardas13814    Pavarde13814   7       9       3       8       7       3       1       9       8       3       3       6       4       4       1           
Vardas13815    Pavarde13815   1       6       2       5       2       6       1       10      5       7       10      2       10      6       4           
Vardas13816    Pavarde13816   3       7       9       6       6       5       10      3       2       7       8       3       7       1       9           
Vardas13817    Pavarde13817   7       2       4       6       8       8       5       1       2       9       2       8       4       1       8           
Vardas13818    Pavarde13818   7       5       8       2       7       10      8       3       8       3       5       10      5       4       2           
Vardas13819    Pavarde13819   9       5       1       10      4       9       2       4       5       10      2       7       8       4       9           
Vardas13820    Pavarde13820   7       10      1       5       3       6       5       7       7       9       1       5       1       10      3           
Vardas13821    Pavarde13821   3       2       3       3       10      2       7       5       2       8       3       1       5       2       3           
Vardas13822    Pavarde13822   6       10      7       7       3       2       8       8       9       10      7       1       6       8       2           
Vardas13823    Pavarde13823   3       6       9       5       4       6       8       3       7       7       8       7       10      9       2           
Vardas13824    Pavarde13824   4       3       1       3       8       7       7       7       5       4       6       3       3       4       4           
Vardas13825    Pavarde13825   7       9       4       6       9       2       4       4       7       3       4       4       8       6       8           
Vardas13826    Pavarde13826   2       9       10      9       1       2       4       2       5       8       5       3       7       2       1           
Vardas13827    Pavarde13827   7       5       2       6       8       2       2       8       3       9       6       4       5       5       10          
Vardas13828    Pavarde13828   1       9       5       2       9       6       4       8       10      10      10      1       6       6       6           
Vardas13829    Pavarde13829   8       6       1       10      3       9       4       8       5       7       10      6       5       8       5           
Vardas13830    Pavarde13830   2       6       10      8       1       9       9       8       3       3       4       9       3       2       6           
Vardas13831    Pavarde13831   1       10      4       9       8       3       10      2       10      1       1       2       9       7       9           
Vardas13832    Pavarde13832   9       2       2       1       10      10      10      8       7       4       5       8       7       9       8           
Vardas13833    Pavarde13833   2       8       6       3       10      7       7       7       9       6       6       3       6       10      8           
Vardas13834    Pavarde13834   2       6       5       10      2       3       2       1       10      9       2       9       7       7       8           
Vardas13835    Pavarde13835   2       1       5       7       8       7       7       9       1       5       7       9       7       10      9           
Vardas13836    Pavarde13836   5       1       2       6       1       3       1       1       5       10      8       2       5       1       4           
Vardas13837    Pavarde13837   8       7       4       6       5       6       5       6       1       4       2       7       4       7       10          
Vardas13838    Pavarde13838   4       4       5       2       4       2       6       7       8       4       1       8       3       9       2           
Vardas13839    Pavarde13839   5       3       2       6       4       1       3       9       9       5       7       6       2       7       9           
Vardas13840    Pavarde13840   4       1       1       2       4       4       3       6       7       1       5       8       9       9       8           
Vardas13841    Pavarde13841   3       3       8       5       5       8       2       7       3       7       4       6       2       5       5           
Vardas13842    Pavarde13842   6       7       3       8       7       3       9       5       3       6       5       5       8       10      1           
Vardas13843    Pavarde13843   2       8       8       10      3       10      10      7       4       10      4       4       6       6       4           
Vardas13844    Pavarde13844   8       9       7       9       2       4       9       6       5       6       7       4       9       5       6           
Vardas13845    Pavarde13845   9       10      5       5       10      9       6       6       10      2       4       6       10      3       10          
Vardas13846    Pavarde13846   8       4       1       2       7       4       10      10      2       3       2       8       6       10      3           
Vardas13847    Pavarde13847   2       4       6       7       4       3       5       6       9       2       8       10      4       10      3           
Vardas13848    Pavarde13848   2       4       6       5       1       8       1       1       7       8       8       7       9       7       3           
Vardas13849    Pavarde13849   9       5       6       8       7       10      4       5       2       9       6       7       8       2       10          
Vardas13850    Pavarde13850   9       10      10      10      5       7       5       5       3       5       6       9       6       8       1           
Vardas13851    Pavarde13851   7       6       10      1       9       5       1       5       3       6       5       1       5       1       3           
Vardas13852    Pavarde13852   8       4       4       3       7       3       3       7       6       4       9       10      5       1       7           
Vardas13853    Pavarde13853   10      7       9       7       9       9       2       6       3       9       4       5       9       6       7           
Vardas13854    Pavarde13854   7       8       6       10      9       3       3       8       2       10      6       7       4       2       6           
Vardas13855    Pavarde13855   8       10      2       3       2       7       7       8       8       1       3       8       1       8       1           
Vardas13856    Pavarde13856   4       2       4       8       2       9       9       5       2       8       9       2       3       5       6           
Vardas13857    Pavarde13857   3       4       10      1       7       3       8       10      3       1       5       3       3       5       5           
Vardas13858    Pavarde13858   7       10      7       10      9       8       7       6       5       4       2       3       9       2       7           
Vardas13859    Pavarde13859   1       3       7       1       6       8       1       1       3       6       3       7       2       7       1           
Vardas13860    Pavarde13860   4       8       9       6       10      9       3       1       8       6       2       8       8       7       5           
Vardas13861    Pavarde13861   4       9       6       3       4       3       3       9       10      6       6       8       9       7       6           
Vardas13862    Pavarde13862   9       10      7       9       8       9       7       9       2       2       4       8       3       9       7           
Vardas13863    Pavarde13863   2       10      5       4       5       5       5       5       8       1       8       10      1       10      8           
Vardas13864    Pavarde13864   10      3       1       7       9       1       3       1       4       7       3       10      10      2       5           
Vardas13865    Pavarde13865   9       6       1       7       3       5       3       3       4       4       4       6       2       6       8           
Vardas13866    Pavarde13866   6       8       1       8       10      1       2       4       2       9       6       4       5       2       1           
Vardas13867    Pavarde13867   7       2       8       6       9       3       2       5       7       3       10      9       1       4       4           
Vardas13868    Pavarde13868   8       9       6       6       3       10      2       6       9       4       5       9       8       1       7           
Vardas13869    Pavarde13869   8       2       10      3       1       6       6       3       8       1       4       1       5       5       8           
Vardas13870    Pavarde13870   10      9       9       6       3       7       2       7       8       2       5       1       2       7       3           
Vardas13871    Pavarde13871   3       5       10      5       1       4       7       7       3       3       5       9       7       6       4           
Vardas13872    Pavarde13872   5       2       5       7       2       1       10      9       6       4       8       5       9       9       6           
Vardas13873    Pavarde13873   3       7       5       4       6       6       3       9       1       2       8       5       8       6       3           
Vardas13874    Pavarde13874   5       9       4       1       5       8       1       3       3       3       2       7       8       4       10          
Vardas13875    Pavarde13875   2       2       8       7       4       2       2       10      2       7       10      6       2       5       9           
Vardas13876    Pavarde13876   8       1       4       3       7       1       9       4       2       9       5       1       3       4       5           
Vardas13877    Pavarde13877   5       6       8       5       8       7       1       4       4       5       3       6       6       9       1           
Vardas13878    Pavarde13878   1       8       6       5       5       7       9       5       7       7       1       4       1       9       3           
Vardas13879    Pavarde13879   3       6       3       9       3       9       10      2       6       5       2       10      4       6       10          
Vardas13880    Pavarde13880   4       1       9       8       2       9       2       6       2       4       8       4       6       5       1           
Vardas13881    Pavarde13881   4       6       5       10      4       8       9       10      3       4       5       4       8       4       1           
Vardas13882    Pavarde13882   2       4       2       8       5       8       6       10      3       10      7       4       6       2       10          
Vardas13883    Pavarde13883   1       6       10      8       6       10      1       4       1       6       9       9       8       4       5           
Vardas13884    Pavarde13884   9       3       6       1       2       10      2       1       4       1       8       1       10      2       7           
Vardas13885    Pavarde13885   4       1       10      6       6       6       6       9       4       1       6       2       5       7       3           
Vardas13886    Pavarde13886   4       1       2       9       8       8       8       6       6       4       8       7       4       2       6           
Vardas13887    Pavarde13887   10      9       6       4       10      7       3       7       5       9       5       5       9       7       2           
Vardas13888    Pavarde13888   4       9       1       3       3       9       3       9       2       9       6       7       4       10      5           
Vardas13889    Pavarde13889   9       2       1       5       4       4       5       1       3       1       2       3       9       1       8           
Vardas13890    Pavarde13890   6       1       8       7       6       9       7       4       5       5       1       10      4       8       5           
Vardas13891    Pavarde13891   4       4       5       1       7       8       2       5       5       7       8       7       2       6       8           
Vardas13892    Pavarde13892   2       5       9       9       8       6       8       4       3       7       10      5       4       1       9           
Vardas13893    Pavarde13893   7       9       10      4       6       8       9       10      1       5       2       2       9       3       9           
Vardas13894    Pavarde13894   3       8       6       7       10      8       6       5       8       7       9       4       10      8       2           
Vardas13895    Pavarde13895   4       6       9       1       6       5       6       2       7       8       7       1       5       8       10          
Vardas13896    Pavarde13896   2       7       7       7       6       5       6       2       6       3       3       7       5       4       4           
Vardas13897    Pavarde13897   10      3       3       8       8       4       3       1       6       6       6       5       2       6       3           
Vardas13898    Pavarde13898   5       6       5       4       1       5       6       8       6       5       2       8       2       6       6           
Vardas13899    Pavarde13899   1       4       5       3       8       3       6       3       10      1       6       5       3       3       5           
Vardas13900    Pavarde13900   6       7       10      1       6       2       6       3       7       8       9       6       1       3       3           
Vardas13901    Pavarde13901   9       5       9       5       10      9       7       7       5       10      6       5       9       9       5           
Vardas13902    Pavarde13902   6       6       4       3       1       5       6       2       2       3       4       6       10      6       1           
Vardas13903    Pavarde13903   10      9       3       2       4       4       4       9       9       8       8       8       9       7       2           
Vardas13904    Pavarde13904   5       3       2       10      1       4       5       10      1       1       8       6       7       6       8           
Vardas13905    Pavarde13905   2       8       9       1       8       8       6       2       8       1       6       3       1       8       1           
Vardas13906    Pavarde13906   8       5       5       4       10      4       3       1       8       10      3       1       7       3       5           
Vardas13907    Pavarde13907   3       10      8       10      1       3       3       7       3       10      8       2       9       7       8           
Vardas13908    Pavarde13908   3       7       8       6       6       2       4       1       2       1       4       9       4       5       4           
Vardas13909    Pavarde13909   10      3       9       1       4       4       9       6       2       10      5       6       1       3       2           
Vardas13910    Pavarde13910   10      7       5       3       7       4       1       8       5       1       5       2       6       3       3           
Vardas13911    Pavarde13911   4       5       8       5       9       2       9       7       10      7       7       8       10      6       9           
Vardas13912    Pavarde13912   8       10      7       10      8       8       1       3       9       4       8       7       1       6       10          
Vardas13913    Pavarde13913   4       3       10      8       5       5       3       3       8       5       4       10      3       9       1           
Vardas13914    Pavarde13914   6       9       7       7       2       5       1       9       3       8       8       9       1       4       4           
Vardas13915    Pavarde13915   6       9       4       2       5       2       7       4       2       3       10      9       10      3       4           
Vardas13916    Pavarde13916   5       4       9       5       6       8       3       9       3       6       1       7       9       3       8           
Vardas13917    Pavarde13917   10      10      6       10      2       3       8       10      5       4       2       9       7       1       8           
Vardas13918    Pavarde13918   7       1       6       7       7       5       1       1       4       7       5       5       8       3       3           
Vardas13919    Pavarde13919   4       6       10      7       5       10      8       6       6       1       9       9       8       1       7           
Vardas13920    Pavarde13920   1       1       9       5       9       6       3       5       8       1       8       5       4       5       10          
Vardas13921    Pavarde13921   5       8       6       5       8       10      1       6       9       4       8       3       2       8       3           
